rank,name,points,division
774,Lihan Oosthuizen,3,MEN
774,Christophe Coutarel,3,MEN
774,Boulard Pascal,3,MEN
774,Ledesma Gauthier,3,MEN
774,MOUSSERON Mathieu,3,MEN
774,Ramamonjisoa Irfan,3,MEN
774,oozeerally kahl,3,MEN
774,Motta Matteo,3,MEN
774,Bertrand Cavaignac,3,MEN
774,Beejadhur Yuvan,3,MEN
774,Micalet Thierry,3,MEN
774,Alberto Ronchi,3,MEN
774,Drishti Beejadhur,3,MEN
802,Fourie Mark,2,MEN
802,Hugo Daniel,2,MEN
802,Dacruz Jean-Vincent,2,MEN
802,Chavagnan Olivier,2,MEN
802,Boussard Francois,2,MEN
802,Arnasalon Segaren,2,MEN
802,Chomatas Kyriakos,2,MEN
802,Charoux Hubert,2,MEN
802,Fabien De Ravel,2,MEN
802,Chapman Stephen,2,MEN
802,BALLOUX Ludovic,2,MEN
802,Merven Lukas,2,MEN
814,Nolot Estelle,1,MEN
814,jodun jimmy,1,MEN
814,Lagesse Xavier,1,MEN
814,Adrien Dutoy,1,MEN
814,Martial David,1,MEN
814,Jodun Justin,1,MEN
814,Maine-Tucker Simon,1,MEN
814,Clares Jules,1,MEN
814,Charles Davy,1,MEN
814,François Louis,1,MEN
814,THOMAS Antoine,1,MEN
814,Booth Neel,1,MEN
814,Moreau Wilfried,1,MEN
814,Adrien Melchior,1,MEN
814,Montocchio Camille,1,MEN
814,Trigui Sonia,1,MEN
814,Carpen Darell,1,MEN
814,Cimiotti Lucas,1,MEN
814,Momplé Jean Philippe,1,MEN
814,Cedric Maujean,1,MEN
814,Mousseron Max,1,MEN
814,Harel Antoine,1,MEN
837,V Mamet Charles,0,MEN
837,Fitzgerald Garrett,0,MEN
837,Van Blitterswijk Miel,0,MEN
837,Bax de Keating Loïc,0,MEN
837,Clark Thomas,0,MEN
837,Cornaglia Juan Lucas,0,MEN
837,Michaux Jeremy,0,MEN
837,Menteath Jonathan,0,MEN
837,Iraqi Omar,0,MEN
837,Gregory Tocque,0,MEN
837,Schnehage Gareth,0,MEN
837,Topsent Stephane,0,MEN
837,Oxenham Frederique,0,MEN
837,Shiel Quintin,0,MEN
837,Olivier Randle,0,MEN
837,Perdrau Hubert,0,MEN
837,lazare Jean-Christophe,0,MEN
837,Julien Guy,0,MEN
837,Toothill Henry,0,MEN
837,Goupille Thomas,0,MEN
837,De Ravel Alexandre,0,MEN
837,Gouws Kevin,0,MEN
837,camoin frederic,0,MEN
837,van der westhuizen Cabous,0,MEN
837,bunting paul,0,MEN
837,Janin Stephen,0,MEN
837,Nicholas Clark,0,MEN
837,Zinno Stefano,0,MEN
837,Tariq Aumjaud,0,MEN
837,Benagini96 Sergi,0,MEN
837,Desvaux de Marigny Remi,0,MEN
837,Simon Iafare,0,MEN
837,Lionel KUPPER,0,MEN
837,Valero Marc,0,MEN
837,Mignot Noe,0,MEN
837,RAVATE Aslam,0,MEN
837,darnal Nicolas,0,MEN
837,Gutstein Romain,0,MEN
837,Radilofe Parson,0,MEN
837,Staub Nicholas,0,MEN
837,Vouros Costa,0,MEN
837,Graffeille Guillaume,0,MEN
837,Nairac Jean-Michel,0,MEN
837,Daruty Alex,0,MEN
837,Rajaonson Stephane,0,MEN
837,Cervello Julien,0,MEN
837,Rogers Alexandre,0,MEN
837,chowa Manoj/lall bahadoorsingh,0,MEN
837,PEYROU Jean-Thomas,0,MEN
837,PHAYSOUPHANH Tiffany,0,MEN
837,Merven Jean-François,0,MEN
837,Gouws Josch,0,MEN
837,Maurel Yannick,0,MEN
837,Bourgeois Arthur,0,MEN
837,Kerkar Farid,0,MEN
837,De guitaut Alexandre,0,MEN
837,Mauvis Jean Luc,0,MEN
837,Segers Mark,0,MEN
837,D’Arifat Hubert,0,MEN
837,Smirnov Evgenii,0,MEN
837,van Wyk Clyde,0,MEN
837,Koenig Edgar,0,MEN
837,Koenig Gregory,0,MEN
837,Montocchio Laurent,0,MEN
837,Thevenet Mathieu,0,MEN
837,von Rantzau Christian,0,MEN
837,Tixier Benjamin,0,MEN
837,troglia fabio,0,MEN
837,ANSELINE MICHAEL,0,MEN
837,gatti Patrick,0,MEN
837,Kleyn Allen,0,MEN
837,Desvaux de Marigny Laurent,0,MEN
837,Barfoot Darrin,0,MEN
837,Walker Tim,0,MEN
837,Humphrey Tom,0,MEN
837,heron victor,0,MEN
837,Dalais Sebastien,0,MEN
837,Antoine Taltavull,0,MEN
837,Thibault Alberici,0,MEN
837,De Waal Anton,0,MEN
837,Hiscock Grant,0,MEN
837,Blomefield Peter,0,MEN
837,van Riet Louw,0,MEN
837,Alban Mace,0,MEN
837,Laurent Surget,0,MEN
837,Ramasawmy Adam,0,MEN
837,Bussier MC Intyre Michael,0,MEN
837,Monteil Nicolas,0,MEN
837,Barabinot Yanis,0,MEN
837,Merchak Sean,0,MEN
837,Ylikangas Harry,0,MEN
837,Ramyead Ashish,0,MEN
837,Alexandre Piat,0,MEN
837,Dsa Dean,0,MEN
837,Phillips Roderick,0,MEN
837,Antrobus Francis,0,MEN
837,Fontaine Maheno,0,MEN
837,Ralph Pecriaux,0,MEN
837,Allison Merlin,0,MEN
837,Varrie Brendan,0,MEN
837,Laas Andre,0,MEN
837,Bijou Guillaume,0,MEN
837,Romain Roche,0,MEN
837,Pooley Simon,0,MEN
837,Havenga Gary,0,MEN
837,Achard Fabien,0,MEN
837,Preston Cooper,0,MEN
837,Vinson William,0,MEN
837,van Staden Marcel,0,MEN
837,hewett ryan,0,MEN
837,Jerome Piganiol,0,MEN
837,Avrillon Christian,0,MEN
837,Goupille Camille,0,MEN
837,Freidin Warren,0,MEN
837,stephane koenig,0,MEN
837,eric koenig,0,MEN
837,Poul Victorien,0,MEN
837,Sayegh Olivier,0,MEN
837,Appadoo Neel,0,MEN
837,Pondville Alex,0,MEN
837,Wong Christophe,0,MEN
837,Meunier Olery,0,MEN
837,McHardy John,0,MEN
837,Leroux Damien,0,MEN
837,Poupinel Hugo,0,MEN
837,Allen Marc,0,MEN
837,Emanuel Matthew,0,MEN
837,Luquet Romain,0,MEN
837,Filleul Dominique,0,MEN
837,Lassus Lucas,0,MEN
837,Lassus Xavier,0,MEN
837,Fleurot Cedric,0,MEN
837,Gabillon Lionel,0,MEN
837,Vallet Jean Francois,0,MEN
837,BIURRUN Sergi,0,MEN
837,rousset christophe,0,MEN
837,GUERINEAU Mathieu,0,MEN
837,Le Breton Dimitri,0,MEN
837,Hassamal Sharva,0,MEN
837,Vinzo Gilliet,0,MEN
837,Michel Regis,0,MEN
837,Warren Craig,0,MEN
837,Cohen Larry,0,MEN
837,Lagesse Guillaume,0,MEN
837,Joh Delahaye,0,MEN
837,Rija Andriamihaja,0,MEN
837,Leon Carosin,0,MEN
837,OLIVIER Marc-Antoine,0,MEN
837,Christophe Leduc,0,MEN
837,CERCY Bertrand,0,MEN
837,sayegh sam,0,MEN
837,Descroizilles Johan,0,MEN
837,Archibald Richard,0,MEN
837,Kimmich Klos,0,MEN
837,Cornette Deny,0,MEN
837,Hardy Vincent,0,MEN
837,Tsin William,0,MEN
837,Hooper Rodney,0,MEN
837,Romain Montocchio,0,MEN
837,Yohan Borgel,0,MEN
837,Harel Yannick,0,MEN
837,Montull Piñeiro Luis,0,MEN
837,Boullé Adrien,0,MEN
837,Hallet Benjamin,0,MEN
837,Nesi Alessandro,0,MEN
837,Bruandet Ronan,0,MEN
837,Guiraud Pierre,0,MEN
837,Knight Michael,0,MEN
837,MEALLIER ERIC,0,MEN
837,Meallier Jordan,0,MEN
837,Gregory Bouic,0,MEN
837,Duguit Foucauld,0,MEN
837,Nicolas de Caritat,0,MEN
837,Breeze David,0,MEN
837,Paillusseau Alain,0,MEN
837,Rossi Doria Simone,0,MEN
837,Bruce Price,0,MEN
837,Aurelia Bee,0,MEN
837,Ron B Ron,0,MEN
837,Thomas Le Hir,0,MEN
837,Goff Rob,0,MEN
837,Bezuidenhout Zane,0,MEN
837,Rossenkhan Tawfeeq,0,MEN
837,Rossenkhan Mikaeel,0,MEN
837,MORLIER Thomas,0,MEN
837,Le Roux Andre,0,MEN
837,Dorthe Sebastien,0,MEN
837,Arnaud Prier,0,MEN
837,Kamenskikh Kristina,0,MEN
837,Edigarev Kirill,0,MEN
837,Ng Nicolas,0,MEN
837,Hatteea Osman,0,MEN
837,Jounaid Sulliman,0,MEN
837,Karoff Johannes,0,MEN
837,King Richard,0,MEN
837,Ah Lim Didier,0,MEN
837,Mamet Samuel,0,MEN
837,Julien Leportier,0,MEN
837,Pablo Hernandez,0,MEN
837,Nel Roark,0,MEN
837,svenbacka jami,0,MEN
837,remi crestin,0,MEN
837,Koster Jeroe,0,MEN
837,Wattebled David,0,MEN
837,Yates Ash,0,MEN
837,Christophe Cazin,0,MEN
837,Peter Ferencz,0,MEN
837,Frédéric Trautmann,0,MEN
837,Morabito Consolato,0,MEN
837,Benelli Filippo,0,MEN
837,Pierrick Moisan,0,MEN
837,Jauffret Sebastien JR,0,MEN
837,Leman Ruben,0,MEN
837,Tatum Jasmin,0,MEN
837,Baker Jonny,0,MEN
837,Cagnion Geoffray,0,MEN
837,Jérôme Ritter,0,MEN
837,Ronald Gautruche,0,MEN
837,Émile Petit,0,MEN
837,Sebastien Nony,0,MEN
837,Potgieter Lara,0,MEN
837,Boutin Bernard,0,MEN
837,Dauguet Madeleine,0,MEN
837,Leveque Christel,0,MEN
837,Blackburn Yannik,0,MEN
837,Arthur Vallet,0,MEN
837,Viljoen Melissa,0,MEN
837,Stephanie Desvaux Le juge,0,MEN
837,Hazebrouck Marion,0,MEN
837,Moossa Ruslan,0,MEN
837,Podtopta Sonya,0,MEN
837,L’Ecluse Vincent,0,MEN
837,Mottier Xavier,0,MEN
837,Benade Michel,0,MEN
837,Dickie Alistair,0,MEN
837,Borisov Boris,0,MEN
837,Ilicheva Ekaterina,0,MEN
837,Wilken Chris,0,MEN
837,Niven Mathieu,0,MEN
837,Bathfield Sonia,0,MEN
837,Vilioen Wouter,0,MEN
837,klaus pautrot,0,MEN
837,Curé Frédéric,0,MEN
837,Lam Brian,0,MEN
837,Grondin Ludivine,0,MEN
837,Raph Pessoa De Jesus,0,MEN
837,Fanchette Theo,0,MEN
837,Segovia Martinez Alex,0,MEN
837,Filchakov Dmitrii,0,MEN
837,Pierrick Coutarel,0,MEN
837,Bokhoory Neil,0,MEN
837,Philippe Perret,0,MEN
837,Ronchi Stierli Claudia,0,MEN
837,Ilane Wachill,0,MEN
837,Catherine de Caritat,0,MEN
837,Schmid Angela,0,MEN
837,Dalle-Grave Tippi,0,MEN
837,Vaulbert Maxime,0,MEN
837,Shub Ashley,0,MEN
837,Ilane Wachill,0,MEN
837,Simon Sauzier,0,MEN
837,Vincent Dawagne,0,MEN
837,Mencis Rihards,0,MEN
837,Henry Christophe,0,MEN
837,Deepoo-Payet Johannah,0,MEN
837,Duchenne Loïc,0,MEN
837,Gallot Samuel Mourot,0,MEN
837,charoux greg,0,MEN
837,Lydie Noguera,0,MEN
837,de martin lorenzo,0,MEN
837,Legalant David,0,MEN
837,Laurent Cervello,0,MEN
837,Lim Ah Tock Yann,0,MEN
837,ivan treptow,0,MEN
837,Lau Hiu Hoong Vincenze,0,MEN
837,christopher Sinna,0,MEN
837,de Froberville Loïc,0,MEN
837,Gill comte,0,MEN
837,Guerric Becquart,0,MEN
837,Narayanasawmy Swadish,0,MEN
837,Moothy Selwyn,0,MEN
837,Desmarais Raymond,0,MEN
837,Merven Luc,0,MEN
837,Matti Quentin,0,MEN
837,FERRAT Robert,0,MEN
837,Pilot Jerome,0,MEN
837,Morelle Julie,0,MEN
837,Philippe STEED,0,MEN
837,Lequy Sophie,0,MEN
837,Stroïnovsky Dimitri,0,MEN
837,MALLART Sebastien,0,MEN
837,Kotze Gerda,0,MEN
837,Kotze Jacques,0,MEN
837,cyprien FEILHES,0,MEN
837,Darby Arthur,0,MEN
837,Chasteau Damien,0,MEN
837,Christophe Panhard,0,MEN
837,Christophe Panhard,0,MEN
